Id,Label,timeset,d0,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum
Iso 50001,Iso 50001,,0,2,0,2,2,0,2,0,0,0,0,18,0,323
Frank Sinatra,Frank Sinatra,,0,3,0,3,3,0,3,0,0,0,0,8,0,11550
What Ho! Jeeves,What Ho! Jeeves,,0,2,0,2,2,0,2,0,0,0,0,13,0,15
"Southwest, Washington, D.C.","Southwest, Washington, D.C.",,0,2,0,2,2,0,2,0,0,0,0,10,0,13897
Ivan Koschula,Ivan Koschula,,0,2,0,2,2,0,2,0,0,0,0,9,0,13279
Charles Babbage,Charles Babbage,,0,3,0,3,3,0,3,0,0,0,0,14,0,16785
River Adur,River Adur,,0,2,0,2,2,0,2,0,0,0,0,16,0,11685
Parry (Fencing),Parry (Fencing),,0,2,0,2,2,0,2,0,0,0,0,6,0,9584
The Monogram Murders,The Monogram Murders,,0,2,0,2,2,0,2,0,0,0,0,5,0,4904
Barents Sea,Barents Sea,,0,2,0,2,2,0,2,0,0,0,0,14,0,15458
Oliver Cromwell,Oliver Cromwell,,0,3,0,3,3,0,3,0,0,0,0,16,0,2726
The Brothers Karamazov,The Brothers Karamazov,,0,3,0,3,3,0,3,0,0,0,0,9,0,4565
Peter Newell,Peter Newell,,0,2,0,2,2,0,2,0,0,0,0,11,0,15934
Hood (Headgear),Hood (Headgear),,0,2,0,2,2,0,2,0,0,0,0,0,0,14959
Charles Champlin,Charles Champlin,,0,5,0,5,5,0,5,0,0,0,0,9,0,8092
Sleep Medicine,Sleep Medicine,,0,2,0,2,2,0,2,0,0,0,0,12,0,17472
Eastern Christianity,Eastern Christianity,,0,2,0,2,2,0,2,0,0,0,0,0,0,15117
Hector Berlioz,Hector Berlioz,,0,5,0,5,5,0,5,0,0,0,0,7,0,9422
Red Army,Red Army,,0,4,0,4,4,0,4,0,0,0,0,14,0,2453
Story Within A Story,Story Within A Story,,0,2,0,2,2,0,2,0,0,0,0,13,0,17840
Dogtanian: Special,Dogtanian: Special,,0,2,0,2,2,0,2,0,0,0,0,11,0,750
The Strange Case Of Mrs. Hudson'S Cat,The Strange Case Of Mrs. Hudson'S Cat,,0,105,129,234,105,129,234,3,0.349785,0.358921,1114.451709,10,0,20032
Typhus,Typhus,,0,2,0,2,2,0,2,0,0,0,0,11,0,6277
Gym Shorts,Gym Shorts,,0,2,0,2,2,0,2,0,0,0,0,0,0,14975
Ira Levin,Ira Levin,,0,2,0,2,2,0,2,0,0,0,0,13,0,18962
The Iron Trail,The Iron Trail,,0,10,0,10,10,0,10,0,0,0,0,9,0,4488
United States Court Of Appeals For The Ninth Circuit,United States Court Of Appeals For The Ninth Circuit,,0,4,0,4,4,0,4,0,0,0,0,14,0,7414
Popeye,Popeye,,0,6,0,6,6,0,6,0,0,0,0,12,0,7091
The Adventure Of The Dying Detective,The Adventure Of The Dying Detective,,0,19,108,127,19,108,127,3,0.35515,0.365781,2491.539264,3,0,20032
Colin Dexter,Colin Dexter,,0,5,0,5,5,0,5,0,0,0,0,3,0,16280
Cult,Cult,,0,2,0,2,2,0,2,0,0,0,0,6,0,13850
Berkhamsted,Berkhamsted,,0,2,0,2,2,0,2,0,0,0,0,18,0,17834
9Th Division (Australia),9Th Division (Australia),,0,2,0,2,2,0,2,0,0,0,0,14,0,6119
The Rose And The Yew Tree,The Rose And The Yew Tree,,0,2,0,2,2,0,2,0,0,0,0,5,0,4889
London,London,,0,109,0,109,109,0,109,0,0,0,0,3,0,164
Hayate The Combat Butler,Hayate The Combat Butler,,0,2,0,2,2,0,2,0,0,0,0,9,0,7314
Daguerreotype,Daguerreotype,,0,3,0,3,3,0,3,0,0,0,0,17,0,17295
Social Class In The United States,Social Class In The United States,,0,4,0,4,4,0,4,0,0,0,0,7,0,12075
Battle Of The Bzura,Battle Of The Bzura,,0,2,0,2,2,0,2,0,0,0,0,14,0,5927
Republic Of China (1912–1949),Republic Of China (1912–1949),,0,2,0,2,2,0,2,0,0,0,0,14,0,5147
"Citigroup Centre, London","Citigroup Centre, London",,0,3,0,3,3,0,3,0,0,0,0,16,0,8996
Northwestern University,Northwestern University,,0,2,0,2,2,0,2,0,0,0,0,8,0,6891
Unrequited Love,Unrequited Love,,0,2,0,2,2,0,2,0,0,0,0,14,0,4657
Iso 9897,Iso 9897,,0,2,0,2,2,0,2,0,0,0,0,18,0,272
World War Ii In The Slovene Lands,World War Ii In The Slovene Lands,,0,2,0,2,2,0,2,0,0,0,0,14,0,826
